fc_destination_code,proxy,uvac_destination,number_of_nights,offset
EYW,US,EYW,4,143
EYW,US,EYW,4,147
EYW,US,EYW,4,151
EYW,US,EYW,4,155
EYW,US,EYW,4,159
EYW,US,EYW,4,163
EYW,US,EYW,4,167
EYW,US,EYW,4,171
EYW,US,EYW,4,175
EYW,US,EYW,4,179
EYW,US,EYW,4,183
EYW,US,EYW,4,187
EYW,US,EYW,4,191
EYW,US,EYW,4,195
EYW,US,EYW,4,199
EYW,US,EYW,4,203
EYW,US,EYW,4,207
EYW,US,EYW,4,211
EYW,US,EYW,4,215
EYW,US,EYW,4,219
EYW,US,EYW,4,223
EYW,US,EYW,4,227
EYW,US,EYW,4,231
EYW,US,EYW,4,235
EYW,US,EYW,4,239
EYW,US,EYW,4,243
EYW,US,EYW,4,247
EYW,US,EYW,4,251
EYW,US,EYW,4,283
EYW,US,EYW,4,315
EYW,US,EYW,4,347
EYW,US,EYW,4,379
FLR,US,FLR,3,7
FLR,US,FLR,3,10
FLR,US,FLR,3,13
FLR,US,FLR,3,16
FLR,US,FLR,3,19
FLR,US,FLR,3,22
FLR,US,FLR,3,25
FLR,US,FLR,3,28
FLR,US,FLR,3,31
FLR,US,FLR,3,34
FLR,US,FLR,3,37
FLR,US,FLR,3,40
FLR,US,FLR,3,43
FLR,US,FLR,3,46
FLR,US,FLR,3,49
FLR,US,FLR,3,52
FLR,US,FLR,3,55
FLR,US,FLR,3,58
FLR,US,FLR,3,61
FLR,US,FLR,3,64
FLR,US,FLR,3,67
FLR,US,FLR,3,70
FLR,US,FLR,3,73
FLR,US,FLR,3,76
FLR,US,FLR,3,79
FLR,US,FLR,3,82
FLR,US,FLR,3,85
FLR,US,FLR,3,88
FLR,US,FLR,3,91
FLR,US,FLR,3,94
FLR,US,FLR,3,97
FLR,US,FLR,3,100
FLR,US,FLR,3,103
FLR,US,FLR,3,106
FLR,US,FLR,3,109
FLR,US,FLR,3,112
FLR,US,FLR,3,115
FLR,US,FLR,3,118
FLR,US,FLR,3,121
FLR,US,FLR,3,124
FLR,US,FLR,3,127
FLR,US,FLR,3,130
FLR,US,FLR,3,133
FLR,US,FLR,3,136
FLR,US,FLR,3,139
FLR,US,FLR,3,142
FLR,US,FLR,3,145
FLR,US,FLR,3,148
FLR,US,FLR,3,151
FLR,US,FLR,3,154
FLR,US,FLR,3,157
FLR,US,FLR,3,160
FLR,US,FLR,3,163
FLR,US,FLR,3,167
FLR,US,FLR,3,171
FLR,US,FLR,3,175
FLR,US,FLR,3,179
FLR,US,FLR,3,183
